"artist","count"
"The Animals",1
"The Avalanches",1
"The Avett Brothers",3
"The B-52's",2
"The Band",2
"The Beach Boys",5
"The Beatles",34
"The Beta Band",1
"The Black Keys",1
"The Breeders",1
"The Cars",2
"The Church",1
"The Clash",9
"The Cranberries",3
"The Cult",1
"The Cure",10
"The Doors",2
"The English Beat",1
"The Flaming Lips",2
"The Hold Steady",1
"The Jayhawks",1
"The Killers",2
"The Kinks",2
"The Knife",1
"The La's",1
"The Mountain Goats",1
"The National",2
"The Pogues",1
"The Police",4
"The Postal Service",1
"The Pretenders",1
"The Proclaimers",1
"The Replacements",13
"the Righteous Brothers",1
"The Rolling Stones",17
"The Ronettes",1
"The Shins",1
"The Smiths",3
"The Stone Roses",1
"The Strokes",2
"The Suburbs",1
"The Sundays",1
"The Temptations",2
"The Traveling Wilburys",1
"The Velvet Underground",5
"The Verve",1
"The War On Drugs",1
"The Waterboys",2
"The White Stripes",4
"The Who",4
"The Wu-Tang Clan",1
"They Might Be Giants",1
"The Zombies",1
"Thin Lizzy",1
"Tommy James and The Shondells",1
"Tom Petty",3
"Tom Petty and the Heartbreakers",3
"Tom Waits",1
"Tool",1
"Tori Amos",2
"Toto",1
"Tracy Chapman",1
"Trampled by Turtles",2
"T. Rex",1
"Trip Shakespeare",1
"TV On The Radio",1
"U2",13
"Van Halen",1
"van morrison",1
"Van Morrison",6
"Violent Femmes",3
"Warren G",1
"weezer",1
"Weezer",5
"Whitney Houston",2
"Wilco",5
"Willie Nelson",1
"Woody Guthrie",1
"Yeah Yeah Yeahs",1
